"STATUS_0","Incomplete or invalid"
"'%value%' has failed the IBAN check", "'%value%' has failed the IBAN check"
"Country not supported for IBAN", "Country not supported for IBAN"
"invalid data provided", "Invalid data provided"
"Account holder must be provided", "Account holder must be provided"
"invalid BIC provided", "Invalid BIC provided"
"Invalid IBAN provided", "Invalid IBAN provided"
"Kwixo shipping method type", "Kwixo shipping method type"
"Shipping speed (in hours)", "Shipping speed (in hours)"
"Default Shipping speed (in hours)", "Default Shipping speed (in hours)"
"kwixo_apres_reception_description", ""
"kwixo_payement_en_1_fois_description", ""
"paiement_en_plusiers_fois_description", ""
"DirectLink Maintenance API URL", "DirectLink Maintenance API URL"
"Allow zero amount authorization", "Allow zero amount authorization"
"Only if payment action is authorize.", "Only available if payment action is set to authorize."
"Submit extra parameters", "Submit extra parameters"
"Enable this if you wish to use fraud detection", "Enable this if you wish to use fraud detection"
"The data you have provided can not be processed by Ingenico ePayments", "The data you have provided can not be processed by Ingenico ePayments"
"Test url example: https://secure.ogone.com/ncol/prod/querydirect.asp <br/>Production url example: https://secure.ogone.com/ncol/prod/querydirect.asp", "Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/querydirect.asp"
"Refresh payment status", "Refresh payment status"
"Ingenico ePayments status successfully updated", "Ingenico ePayments status successfully updated"
"revert state update to it\'s original one because of Ingenico ePayments\'s state restriction", "revert state update to it\'s original one because of Ingenico ePayments\'s state restriction"
"This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Data and origin verification</em>.","This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Data and origin verification</em>."
"This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Transaction feedback</em>.","This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Transaction feedback</em>."
"Special user for API must be created in the Ingenico ePayments backend in section <em>Users</em>.","Special user for API must be created in the Ingenico ePayments backend in section <em>Users</em>."
"Password which has been set in the Ingenico ePayments backend for above API user.","Special user for API must be created in the Ingenico ePayments backend in section <em>Users</em>."
"This setting will override the configuration in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global transaction parameters</em>.","This setting will override the configuration in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global transaction parameters</em>."
"Only enable this if you wish to use Fraud Detection.","Only enable this if you wish to use Fraud Detection."
"This will log requests and responses in /var/log/ops.log","This will log requests and responses in /var/log/ops.log"
"Make sure the global Magento logging is also enabled.","Make sure the global Magento logging is also enabled."
"If set to <em>Yes</em>, customers will be redirected to the external Ingenico ePayments payment page.","If set to <em>Yes</em>, customers will be redirected to the external Ingenico ePayments payment page."
"For the selected card types, the customer can enter the credit card details directly in the checkout.","For the selected card types, the customer can enter the credit card details directly in the checkout."
"If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password.","If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password."
"This sets if this payment method should also be available for orders from the Magento backend.","This sets if this payment method should also be available for orders from the Magento backend."
"Make sure that <em>gender</em> and <em>date of birth</em> are required fields in the checkout. Otherwise this payment method will not be displayed.","Make sure that <em>gender</em> and <em>date of birth</em> are required fields in the checkout. Otherwise this payment method will not be displayed."
"By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments side.", "By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments side."
"Additional Ingenico ePayments payment methods", "Additional Ingenico ePayments payment methods"
"A generic payment method, that lets the customer choose the exact method on Ingenico ePayments side.", "A generic payment method, that lets the customer choose the exact method on Ingenico ePayments side."
"Depending on the selection the extension will communicate with the Ingenico ePayments test or production service. Choose custom, if you have to use special urls for the gateway.", "Depending on the selection the extension will communicate with the Ingenico ePayments test or production service. Choose custom, if you have to use special urls for the gateway."
"prod", "Production"
"test", "Test"
"custom", "Custom"
"Mode", "Environment"
"<p id='ops_mode_comment' style='color:red; display:none;'>Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>","<p id='ops_mode_comment' style='color:red; display:none;'>Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>"
"Resend payment information", "Resend payment information"
"Ingenico ePayments resend payment information","Ingenico ePayments resend payment information"
"Payment information has been resend to customer.", "Payment information has been resend to customer."
"Payment information could not be sent.", "Payment information could not be sent."
"Resend payment information identity", "Resend payment information identity"
"Sender identity. See 'Store Email Adresses'.", "Sender identity. See 'Store Email Adresses'."
"Resend payment information template", "Resend payment information template"
"The email template to use. Choose 'Default Template from Locale' to use Ingenico ePayments extensions default template.", "The email template to use. Choose 'Default Template from Locale' to use Ingenico ePayments extensions default template."
"This payment method always uses direct sale as payment action.","This payment method always uses direct sale as payment action."
"Allow payment method for discounted carts. Please note that not all aquirers support transmission of discount items.","Allow payment method for discounted carts. Please note that not all aquirers support transmission of discount items."
"Maximum length for this field is 35 characters.", "Maximum length for this field is 35 characters."
"Enable state restriction","Enable state restriction"
"If enabled the order status changes that differ from the expected status of the order for the Ingenico ePayments status will get reverted. This can cause conflicts if you use custom order statuses.","If enabled the order status changes that differ from the expected status of the order for the Ingenico ePayments status will get reverted. This can cause conflicts if you use custom order statuses."
"FAILURE_TOKEN_FRONTEND","Your payment data could not be saved by Ingenico ePayments. Please <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>retry</a> or select another payment method."
"SUCCESS_TOKEN_FRONTEND","Your payment data is ready to be processed by Ingenico ePayments. You can <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>reset it</a> or still select another payment method."
"SUCCESS_TOKEN","Your payment data is ready to be processed by Ingenico ePayments. You can <a href='javascript:void(0)' onclick='payment.reloadIframe();'>reset it</a> or still select another payment method."
"FAILURE_TOKEN","Your payment data could not be saved by Ingenico ePayments. Please <a href='javascript:void(0)' onclick='payment.reloadIframe();'>retry</a> or select another payment method."
"LOAD_TOKEN", "Please wait, while we load the Ingenico ePayments payment form."
"If this option is enabled, the customer's alias data will be saved in the shop. The data can then be used again later if the buyer has stored them permanently on Ingenico ePayments side.", "If this option is enabled, the customer's alias data will be saved in the shop. The data can then be used again later if the buyer has stored them permanently on Ingenico ePayments side."
"Ingenico ePayments - Redirect mode", "Ingenico ePayments - Redirect mode"
"Magento - internal shop template", "Magento - internal shop template"
"Ingenico ePayments - iFrame mode", "Ingenico ePayments - iFrame mode"
"Ingenico ePayments - Dynamic template","Ingenico ePayments - Dynamic template"
"Enter the TemplateRootId you received from Ingenico ePayments or the url to an external template.", "Enter the TemplateRootId you received from Ingenico ePayments or the url to an external template."
"For an easier PCI compliance we recommend redirect mode, iFrame mode or dynamic template with the template hosted on Ingenico ePayments servers. This does NOT affect the Hosted Tokenization iFrame (HTP).", "For an easier PCI compliance we recommend redirect mode, iFrame mode or dynamic template with the template hosted on Ingenico ePayments servers. This does NOT affect the Hosted Tokenization iFrame (HTP)."
"With this setting the customer will enter the payment details on a page in your shop that hosts the Ingenico ePayments paypage in an iFrame. You can style the paypage through the parameters below.","With this setting the customer will enter the payment details on a page in your shop that hosts the Ingenico ePayments paypage in an iFrame. You can style the paypage through the parameters below."
"With this setting the customer will be redirected to the Ingenico ePayments paypage with the look and feel of your shop. </br> The template used can be seen here: </br>", "With this setting the customer will be redirected to the Ingenico ePayments paypage with the look and feel of your shop. </br> The template used can be seen here: </br>"
"With this setting the customer will be redirected to the Ingenico ePayments paypage. The look and feel of that page will be defined by a dynamically loaded template file that you can define below.","With this setting the customer will be redirected to the Ingenico ePayments paypage. The look and feel of that page will be defined by a dynamically loaded template file that you can define below."
"With this setting the customer will get redirected to Ingenico ePayments to enter his payment details. You can style the page through the parameters below.","With this setting the customer will get redirected to Ingenico ePayments to enter his payment details. You can style the page through the parameters below."
"Ingenico ePayments Subscription Manager via Cc", "Ingenico ePayments Subscription Manager via Cc"
"<p id='ops_recurring_cc_active_comment' style='color:red; display:none;'>To use this functionality you have to have the Subscription manager function enabled in the Ingenico ePayments backend.</p>","<p id='ops_recurring_cc_active_comment' style='color:red; display:none;'>To use this functionality you need to have the Subscription manager function enabled in the Ingenico ePayments backend.</p>"
"This payment method is used to handle subscriptions via Ingenico ePayments through Magentos recurring profiles. It is only available for orders containing only nominal items.", "This payment method is used to handle subscriptions via Ingenico ePayments through Magento's Recurring Profiles. It is only available for orders containing suitable (nominal) items."
"A subscription will be created. This will charge you %s every %s %s.", " A subscription will be created. This will charge you %s every %s %s."
" The subscription will end on %s.", " The subscription will end on %s."
"A trial subscription will be created. This will charge you %s every %s %s until %s.", "A trial subscription will be created. This will charge you %s every %s %s until %s."
"To cancel the subscription, please send an email to the shop owner or request this by clicking the suspend button on the subscriptions detail view in your customer account. A link to that page will be displayed on the checkout success page.", "To cancel the subscription, please send an email to the shop owner or request this by clicking the suspend button on the subscriptions detail view in your customer account. A link to that page will be displayed on the checkout success page."
"You will be charged an initial amount of %s.", "You will be charged an initial amount of %s."
"Are you sure you want to perform this action? Canceling the subscription here will not actually cancel the subscription on Ingenico ePayments side. To stop charging the customer you will have to deactivate the subscription there.", "Are you sure you want to perform this action? This will only set the status in Magento. To stop charging the customer you will have to deactivate the subscription on the Ingenico ePayments side."
"Are you sure you want to perform this action? Suspending the subscription here will not actually cancel the subscription on Ingenico ePayments side. To stop charging the customer you will have to deactivate the subscription there.", "Are you sure you want to perform this action? This will only set the status in Magento. To suspend charging the customer, you will have to suspend the subscription on the Ingenico ePayments side."
"Billing day for weekly subscriptions", "Billing day for weekly subscriptions"
"Determines the day of the week when a weekly subscription gets triggered.","Determines the day of the week when a weekly subscription gets triggered."
"Billing day for monthly subscriptions", "Billing day for monthly subscriptions"
"Determines the day of the month when a monthly subscription gets triggered.", "Determines the day of the month when a monthly subscription gets triggered."
"Store contact responsible for subscription handling", "Store contact responsible for subscription handling"
"This contact will receive the suspend/cancel requests for the subscriptions. See 'Store Email Adresses'.", "This contact will receive the suspend/cancel requests for the subscriptions. See 'Store Email Addresses'."
"E-Mail template for suspending/canceling a subscription", "E-Mail template for suspending/canceling a subscription"
"This e-mail template is used for the automatically generated e-mail that is sent to the corresponding contact, if a customer wants to cancel a subscription.", "This e-mail template is used for the automatically generated e-mail which is sent to the corresponding contact, if a customer wants to cancel a subscription."
"Ingenico ePayments suspend subscription request", "Ingenico ePayments suspend subscription request"
"You are not allowed to suspend this subscription!", "You are not allowed to suspend this subscription!"
"Your suspend request was successfully sent. A copy of the email will be sent to your address.", "Your suspend request was successfully sent. A copy of the email will be sent to your address."
"Could not send suspend mail, please try again or contact our support directly.","Could not send suspend mail, please try again or contact our support directly."
"Automatic activation not possible. Please contact our support team.", "Automatic activation not possible. Please contact our support team."
"To actually suspend the subscription an update in the Ingenico ePayments backend is needed.","To actually suspend the subscription an update in the Ingenico ePayments backend is needed."
"To actually cancel the subscription an update in the Ingenico ePayments backend is needed.","To actually cancel the subscription an update in the Ingenico ePayments backend is needed."
"To actually activate the subscription an update in the Ingenico ePayments backend is needed.", "To actually activate the subscription an update in the Ingenico ePayments backend is needed."
"When using %s as payment method the settings for '%s' and '%s' will not be processed.", "When using %s as payment method the settings for '%s' and '%s' will not be processed."
"Enable device fingerprinting","Enable device fingerprinting"
"When enabling this, you still need to request the explicit consent of the customer in the checkout to transmit this data.","When enabling this, you still need to request the explicit consent of the customer in the checkout to transmit this data."
"This functionality will transmit specific customer data as hash to Ingenico ePayments to identify the device from which the transaction was sent can be identified with the highest probability.","This functionality will transmit specific customer data as hash to Ingenico ePayments to identify the device from which the transaction was sent can be identified with the highest probability."
"Enter new credit card data...", "Enter new credit card data..."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"This is a required field.","This is a required field."
"Timeout for transactions","Timeout for transactions"
"This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global security parameters</em>.","This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global security parameters</em>."
"Hash algorithm", "Hash algorithm"
"Order has been canceled permanently in Magento. Changes in Ingenico ePayments platform will no longer be considered.","Order has been canceled permanently in Magento. Changes in Ingenico ePayments platform will no longer be considered."
"The order has been accepted in Magento only. For the actual status of the payment check the Ingenico ePayments backend.", "The order has been accepted in Magento only. For the actual status of the payment check the Ingenico ePayments backend."
"Received Ingenico ePayments feedback status %s.", "Received Ingenico ePayments feedback status %s."
"Customer received your payment instructions, waiting for actual payment.","Customer received your payment instructions, waiting for actual payment."
"Customer redirected for 3DS authorization.", "Customer redirected for 3DS authorization."
"Ingenico ePayments status 0, the action failed.", "Ingenico ePayments status 0, the action failed."
"Payment failed because the authorization was declined! Please choose another payment method.", "Payment failed because the authorization was declined! Please choose another payment method."
"Received Ingenico ePayments feedback status update with final status %s.", "Received Ingenico ePayments feedback status update with final status %s."
"Received Ingenico ePayments feedback status update with suspected fraud status %s. Please have a look in Ingenico ePayments backend for more information.", "Received Ingenico ePayments feedback status update with suspected fraud status %s. Please have a look in Ingenico ePayments backend for more information."
"Received Ingenico ePayments feedback status update with intermediate status %s.", "Received Ingenico ePayments feedback status update with intermediate status %s."
"Received Ingenico ePayments feedback status update with refused status %s.", "Received Ingenico ePayments feedback status update with refused status %s."
"Payment has been authorized by Ingenico ePayments, but not yet captured.", "Payment has been authorized by Ingenico ePayments, but not yet captured."
"%s is not a authorize status!","%s is not a authorize status!"
"%s is not a capture status!","%s is not a capture status!"
"%s is not a void status!","%s is not a void status!"
"%s is not a refund status!","%s is not a refund status!"
"%s is not a special status!","%s is not a special status!"
"Status %s can not be voided.", "Status %s can not be voided."
"No update available from Ingenico ePayments.","No update available from Ingenico ePayments."
"Received Ingenico ePayments status %s. Order cancelled.", "Received Ingenico ePayments status %s. Order cancelled."
"If activated an extra parameter is transmitted to Ingenico ePayments for the Creditcard/Debitcard payment methods.","If activated an extra parameter is transmitted to Ingenico ePayments for the Creditcard/Debitcard payment methods."
"See also <a title='Split credit/debit cards' target='_blank' href='https://payment-services.ingenico.com/int/en/ogone/support/guides/integration%20guides/split-credit-debit-cards'>Ingenico ePayments documentation</a>.", "See also <a title='Split credit/debit cards' target='_blank' href='https://payment-services.ingenico.com/int/en/ogone/support/guides/integration%20guides/split-credit-debit-cards'>Ingenico ePayments documentation</a>."
"Refund refused by Ingenico ePayments.", "Refund refused by Ingenico ePayments."
"Add Method", "Add Method"
"PM and Brand combination must be unique","PM and Brand combination must be unique"
"Can not save empty title or PM fields", "Can not save empty title or PM fields"
"A generic option, that lets the customer choose the exact method on Ingenico ePayments side.", "A generic option, that lets the customer choose the exact method on Ingenico ePayments side."
"Add one or more methods. In field 'PM' you will have to enter the PM value you got from Ingenico ePayments, same goes for the field 'BRAND'.", "Add one or more methods. In field 'PM' you will have to enter the PM value you got from Ingenico ePayments, same goes for the field 'BRAND'."
"Methods", "Methods"
"Show empty default option", "Show empty default option"
"Ingenico ePayments Flex payment method", "Ingenico ePayments Flex payment method"
"Title to display for the default option.", "Title to display for the default option."
"Default option title", "Default option title"
"Extension Version", "Extension Version"
"Documentation", "Documentation"
"English", "English"
"German", "German"
"First Aid - FAQ", "First Aid - FAQ"
"Need support? Contact Ingenico ePayments:", "Need support? Contact Ingenico ePayments:"
"Download Logfile", "Download Logfile"
"Show catalog button", "Show catalog button"
"Show home button", "Show home button"
"Credit/Debit card Split", "Credit/Debit card Split"
"Payment method", "Payment method"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"Delete Image","Delete Image"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Payment Logo","Payment Logo"
"Payment Logo Visibility","Payment Logo Visibility"
"Netresearch_OPS::Left","Left"
"Netresearch_OPS::Right","Right"
"Netresearch_OPS::Non Visible","Non Visible"
"Disallowed file type.","Disallowed file type."
"Payment Information","Payment Information"
"Submit","Submit"
"Cancel","Cancel"
"Transmit new payment method...","Transmit new payment method..."
"Your given data","Your given data"
"Order Number","Order Number"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Aliasusage New","Alias Label New"
"Here you can enter the desired text which will be displayed on Ingenico ePayments side.","Here you can enter the desired text which will be displayed on Ingenico ePayments side."
"Aliasusage existing Alias","Aliasusage existing Alias"
"Here you can enter the desired text which is used for existing alias, the text will be displayed on Ingenico ePayments side.","Here you can enter the desired text which is used for existing alias, the text will be displayed on Ingenico ePayments side."
"This value specifies the request timeout for that transaction. A value between 30 and 60 seconds is possible.", "This value specifies the request timeout for that transaction. A value between 30 and 60 seconds is possible."
"Layout on the external payment page (for redirect payment methods).", "Layout on the external payment page (for redirect payment methods)."
"Send Invoice to Customer", "Send Invoice to Customer"
"Value exceeds %d characters","Value exceeds %d characters"
"Your order has been registered, but your payment is still marked as pending. Please have patience until the final status is known.","Your order has been registered, but your payment is still marked as pending. Please have patience until the final status is known."
"You will be redirected to finalize your payment.","You will be redirected to finalize your payment."
"When using Klarna as your aquirer you will need to switch to the option 'Other'.","When using Klarna as your aquirer you will need to switch to the option 'Other'."
"When the option 'Other' is selected the request data will get converted to ASCII chararcters by using the appropriate transliterations for the given locale of the store.","When the option 'Other' is selected the request data will get converted to ASCII chararcters by using the appropriate transliterations for the given locale of the store."
"Allows you to display a configurable link to your aquirers invoicing terms and conditions.","Allows you to display a configurable link to your aquirers invoicing terms and conditions."
"Show invoice terms link","Show invoice terms link"
"Invoice terms title","Invoice terms title"
"Invoice terms URL","Invoice terms URL"
"Request Data Encoding", "Request Data Encoding"
"Pay now","Pay now"
"Enter new bank data...","Enter new bank data..."
"Other","Other"